,Unnamed: 0,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
21,21,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,bouchers,facteurs,plaignent,Ces bouchers que les facteurs plaignent doivent manger.,visual
22,22,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,comédiens,gardiens,suit,Les comédiens auprès des gardiens suit des gérants.,visual
23,23,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,clients,juges,bénissent,Loin des clients des juges bénissent les marchands.,visual
24,24,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,chef,facteurs,attend,Ce chef que les facteurs attend répond rarement.,visual
25,25,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,bouchers,gardiens,bénit,Ces bouchers loin des gardiens bénit les serveurs.,visual
26,26,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,chefs,clients,hait,Ces chefs que les clients hait savent conduire.,visual
27,27,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,danseur,facteur,suit,Auprès du danseur un facteur suit un libraire.,visual
28,28,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,comédien,dentistes,attend,Un comédien que les dentistes attend doit partir.,visual
29,29,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,comédien,libraires,entend,Ce comédien auprès des libraires entend le peintre.,visual
30,30,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,boucher,dentistes,bénit,Un boucher près des dentistes bénit ce vendeur.,visual
31,31,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,facteurs,serveur,craint,Ces facteurs que le serveur craint vomissent parfois.,visual
32,32,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,gérants,malade,endorment,Ces gérants loin du malade endorment les matelots.,visual
33,33,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,client,comédiens,attendent,Un client près des comédiens attendent le soldat.,visual
34,34,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,boucher,peintre,plaint,Le boucher que ce peintre plaint repart aussitôt.,visual
35,35,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,coiffeur,comédien,haïssent,Le coiffeur auprès du comédien haïssent un marin.,visual
36,36,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,bouchers,matelot,séduit,Des bouchers proche du matelot séduit les médecins.,visual
37,37,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,chanteurs,gardiens,plaignent,Ces chanteurs proche des gardiens plaignent des notaires.,visual
38,38,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,chefs,patient,suivent,Ces chefs que ce patient suivent vomissent encore.,visual
39,39,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,malades,matelots,émeuvent,Des malades que les matelots émeuvent veulent mourir.,visual
