,trial,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
15,trial_16,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,gardien,marins,séduisent,Le gardien près des marins séduisent ce plombier.,auditory
16,trial_17,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,chanteurs,comédien,bénit,Les chanteurs loin du comédien bénit des plombiers.,auditory
17,trial_18,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,bouchers,marchands,élisent,Ces bouchers auprès des marchands élisent ces prêtres.,auditory
18,trial_19,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,champion,coiffeur,servent,Ce champion loin du coiffeur servent un malade.,auditory
19,trial_20,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,dentistes,marins,émeuvent,Auprès des dentistes ces marins émeuvent ces plombiers.,auditory
20,trial_21,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,notaire,pompiers,séduisent,Le notaire que ces pompiers séduisent part lentement.,auditory
21,trial_22,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,champions,malades,émeut,Loin des champions des malades émeut les médecins.,auditory
22,trial_23,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,champion,marchands,reçoivent,Ce champion que les marchands reçoivent doit payer.,auditory
23,trial_24,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,danseur,prêtre,élisent,Près du danseur ce prêtre élisent ce serveur.,auditory
24,trial_25,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,chef,malade,hait,Près du chef ce malade hait ce marin.,auditory
25,trial_26,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,matelots,plombiers,bénit,Les matelots que les plombiers bénit partent demain.,auditory
26,trial_27,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,juge,marin,décrivent,Ce juge que ce marin décrivent répond rarement.,auditory
27,trial_28,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,chanteurs,chefs,craignent,Les chanteurs proche des chefs craignent ces notaires.,auditory
28,trial_29,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,facteur,plombier,craint,Proche du facteur ce plombier craint un vendeur.,auditory
29,trial_30,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,chanteurs,dentistes,punissent,Des chanteurs que ces dentistes punissent vomissent souvent.,auditory
30,trial_31,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,chanteur,coiffeurs,punit,Ce chanteur que les coiffeurs punit écrit parfois.,auditory
31,trial_32,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,marchand,patient,élisent,Le marchand loin du patient élisent le plombier.,auditory
32,trial_33,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,danseurs,gérant,punissent,Ces danseurs que le gérant punissent veulent mourir.,auditory
33,trial_34,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,client,facteurs,bénissent,Le client près des facteurs bénissent un malade.,auditory
34,trial_35,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,chanteurs,client,craignent,Ces chanteurs auprès du client craignent les serveurs.,auditory
35,trial_36,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,chanteurs,facteurs,craint,Des chanteurs près des facteurs craint les médecins.,auditory
36,trial_37,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,chefs,gérant,endort,Ces chefs que le gérant endort veulent dormir.,auditory
37,trial_38,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,chanteurs,danseur,hait,Des chanteurs que ce danseur hait peignent parfois.,auditory
38,trial_39,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,champion,comédien,bénit,Un champion près du comédien bénit ce matelot.,auditory
39,trial_40,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,dentiste,peintre,séduit,Le dentiste près du peintre séduit ce serveur.,auditory
