,Unnamed: 0,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
19,19,GSLS,obj,no,no,yes,no,None,plur,plur,plur,gardiens,libraires,décrivent,Des gardiens que les libraires décrivent vomissent encore.,visual
20,20,GSLS,pp,no,no,yes,no,None,sing,sing,sing,client,dentiste,craint,Un client près du dentiste craint ce matelot.,visual
21,21,GSLD,obj,no,yes,no,no,6,sing,plur,sing,boucher,facteurs,élit,Un boucher que les facteurs élit sait conduire.,visual
22,22,GSLS,pp,no,no,yes,no,None,plur,plur,plur,facteurs,pompiers,craignent,Ces facteurs loin des pompiers craignent ces prêtres.,visual
23,23,pp_filler,pp,yes,yes,None,None,5,plur,sing,plur,chanteurs,répondent,défendent,Ces chanteurs auprès des répondent défendent les plombiers.,visual
24,24,GDLD,obj,no,yes,yes,yes,6,plur,plur,sing,facteurs,matelots,entend,Ces facteurs que ces matelots entend repartent demain.,visual
25,25,GDLS,pp,no,yes,no,no,6,sing,plur,plur,marchand,médecins,décrivent,Le marchand loin des médecins décrivent ce peintre.,visual
26,26,GDLS,obj,no,no,no,yes,None,sing,plur,plur,facteur,gardiens,endorment,Un facteur que les gardiens endorment part demain.,visual
27,27,GSLD,obj,no,yes,no,no,6,plur,sing,plur,comédiens,matelot,décrivent,Ces comédiens que ce matelot décrivent doivent payer.,visual
28,28,GDLS,pp,no,yes,no,no,6,sing,plur,plur,juge,notaires,décrivent,Un juge proche des notaires décrivent un patient.,visual
29,29,GSLS,obj,no,no,yes,no,None,plur,plur,plur,chefs,marins,punissent,Ces chefs que les marins punissent répondent lentement.,visual
30,30,GSLS,pp,no,no,yes,no,None,sing,sing,sing,boucher,patient,endort,Le boucher proche du patient endort ce plombier.,visual
31,31,GDLD,pp,no,yes,yes,yes,6,sing,sing,plur,danseur,plombier,reçoivent,Un danseur proche du plombier reçoivent le serveur.,visual
32,32,GSLD,obj,no,yes,no,no,6,sing,plur,sing,patient,serveurs,défend,Un patient que les serveurs défend ment parfois.,visual
33,33,GSLD,pp,no,no,no,yes,None,sing,plur,sing,chef,comédiens,entend,Le chef auprès des comédiens entend le soldat.,visual
34,34,GDLS,pp,no,yes,no,no,6,plur,sing,sing,chefs,matelot,punit,Des chefs proche du matelot punit des patients.,visual
35,35,GSLD,pp,no,no,no,yes,None,plur,sing,plur,coiffeurs,facteur,punissent,Ces coiffeurs auprès du facteur punissent ces vendeurs.,visual
36,36,GSLS,obj,no,no,yes,no,None,sing,sing,sing,champion,client,bénit,Un champion que ce client bénit doit dormir.,visual
37,37,GDLD,pp,no,yes,yes,yes,6,plur,plur,sing,chefs,patients,entend,Les chefs proche des patients entend les peintres.,visual
38,38,GSLD,obj,no,yes,no,no,6,sing,plur,sing,comédien,marins,décrit,Un comédien que ces marins décrit repart dehors.,visual
39,39,GSLD,obj,no,yes,no,no,6,sing,plur,sing,champion,chanteurs,entend,Ce champion que ces chanteurs entend écrit toujours.,visual
40,40,GDLD,pp,no,yes,yes,yes,6,plur,plur,sing,facteurs,juges,bénit,Des facteurs proche des juges bénit les pompiers.,visual
41,41,GDLS,obj,no,no,no,yes,None,plur,sing,sing,chefs,coiffeur,entend,Les chefs que le coiffeur entend écrivent souvent.,visual
42,42,GSLD,obj,no,yes,no,no,6,plur,sing,plur,dentistes,facteur,endorment,Des dentistes que le facteur endorment savent conduire.,visual
43,43,GSLS,obj,no,no,yes,no,None,sing,sing,sing,chanteur,danseur,hait,Ce chanteur que le danseur hait peint souvent.,visual
44,44,pp_filler,pp,yes,yes,None,None,5,plur,sing,plur,comédiens,écrivent,émeuvent,Ces comédiens loin des écrivent émeuvent des médecins.,visual
45,45,GDLS,obj,no,no,no,yes,None,sing,plur,plur,gérant,médecins,plaignent,Un gérant que les médecins plaignent veut partir.,visual
46,46,GSLS,pp,no,no,yes,no,None,sing,sing,sing,danseur,dentiste,élit,Le danseur auprès du dentiste élit ce juge.,visual
47,47,GSLS,pp,no,no,yes,no,None,plur,plur,plur,champions,comédiens,entendent,Des champions loin des comédiens entendent des gérants.,visual
48,48,GSLS,obj,no,no,yes,no,None,sing,sing,sing,chanteur,client,plaint,Le chanteur que ce client plaint ment toujours.,visual
49,49,GSLD,obj,no,yes,no,no,6,plur,sing,plur,bouchers,gérant,haïssent,Des bouchers que ce gérant haïssent repartent aussitôt.,visual
50,50,GDLS,pp,no,yes,no,no,6,plur,sing,sing,comédiens,notaire,suit,Les comédiens loin du notaire suit les patients.,visual
51,51,GSLS,pp,no,no,yes,no,None,sing,sing,sing,client,coiffeur,défend,Le client auprès du coiffeur défend ce peintre.,visual
52,52,GDLD,pp,no,yes,yes,yes,6,sing,sing,plur,dentiste,marchand,servent,Un dentiste près du marchand servent ce patient.,visual
53,53,GDLD,pp,no,yes,yes,yes,6,sing,sing,plur,boucher,facteur,punissent,Un boucher auprès du facteur punissent le juge.,visual
54,54,GDLD,pp,no,yes,yes,yes,6,plur,plur,sing,juges,notaires,séduit,Des juges loin des notaires séduit ces plombiers.,visual
55,55,GDLS,obj,no,no,no,yes,None,plur,sing,sing,médecins,pompier,suit,Les médecins que ce pompier suit vomissent partout.,visual
56,56,GSLS,obj,no,no,yes,no,None,plur,plur,plur,clients,coiffeurs,élisent,Des clients que les coiffeurs élisent écrivent toujours.,visual
57,57,GDLD,obj,no,yes,yes,yes,6,plur,plur,sing,clients,coiffeurs,endort,Des clients que ces coiffeurs endort savent nager.,visual
58,58,pp_filler,pp,yes,yes,None,None,5,sing,plur,sing,marin,répond,séduit,Le marin proche du répond séduit un serveur.,visual
59,59,GSLD,obj,no,yes,no,no,6,sing,plur,sing,gérant,plombiers,séduit,Un gérant que les plombiers séduit sait nager.,visual
60,60,obj_filler,obj,yes,yes,None,None,7,plur,plur,plur,chanteurs,clients,défendent,Les chanteurs que ces clients défendent gérants manger.,visual
61,61,obj_filler,obj,yes,yes,None,None,7,plur,plur,plur,champions,médecins,émeuvent,Des champions que ces médecins émeuvent prêtres cuisiner.,visual
62,62,GSLS,obj,no,no,yes,no,None,plur,plur,plur,bouchers,clients,craignent,Les bouchers que les clients craignent savent conduire.,visual
63,63,GDLD,obj,no,yes,yes,yes,6,sing,sing,plur,matelot,médecin,suivent,Ce matelot que ce médecin suivent repart aussitôt.,visual
64,64,GSLS,pp,no,no,yes,no,None,sing,sing,sing,patient,plombier,élit,Un patient loin du plombier élit le pompier.,visual
65,65,obj_filler,obj,yes,yes,None,None,7,plur,plur,plur,juges,matelots,élisent,Les juges que les matelots élisent médecins rarement.,visual
66,66,GSLD,pp,no,no,no,yes,None,sing,plur,sing,chef,marchands,émeut,Ce chef proche des marchands émeut un marin.,visual
67,67,GSLS,pp,no,no,yes,no,None,plur,plur,plur,coiffeurs,gardiens,entendent,Les coiffeurs près des gardiens entendent des médecins.,visual
68,68,GDLD,obj,no,yes,yes,yes,6,sing,sing,plur,facteur,serveur,craignent,Le facteur que ce serveur craignent écrit parfois.,visual
69,69,GSLD,pp,no,no,no,yes,None,plur,sing,plur,facteurs,marchand,attendent,Les facteurs loin du marchand attendent des matelots.,visual
70,70,GSLS,obj,no,no,yes,no,None,plur,plur,plur,comédiens,dentistes,punissent,Des comédiens que ces dentistes punissent peignent toujours.,visual
71,71,GDLD,obj,no,yes,yes,yes,6,plur,plur,sing,danseurs,notaires,séduit,Des danseurs que les notaires séduit doivent payer.,visual
72,72,GSLD,pp,no,no,no,yes,None,sing,plur,sing,malade,marins,craint,Le malade loin des marins craint ce serveur.,visual
73,73,GSLD,pp,no,no,no,yes,None,sing,plur,sing,boucher,facteurs,émeut,Un boucher proche des facteurs émeut un marin.,visual
74,74,GDLS,pp,no,yes,no,no,6,plur,sing,sing,malades,matelot,décrit,Des malades auprès du matelot décrit ces pompiers.,visual
75,75,GDLS,pp,no,yes,no,no,6,sing,plur,plur,marchand,notaires,émeuvent,Un marchand loin des notaires émeuvent ce soldat.,visual
76,76,GDLD,pp,no,yes,yes,yes,6,plur,plur,sing,chefs,clients,punit,Les chefs auprès des clients punit les matelots.,visual
77,77,GDLD,obj,no,yes,yes,yes,6,plur,plur,sing,gardiens,marins,entend,Des gardiens que les marins entend savent conduire.,visual
78,78,GDLD,obj,no,yes,yes,yes,6,plur,plur,sing,danseurs,gardiens,émeut,Des danseurs que ces gardiens émeut mentent parfois.,visual
79,79,GSLS,obj,no,no,yes,no,None,sing,sing,sing,client,gardien,hait,Un client que le gardien hait répond aussitôt.,visual
80,80,pp_filler,pp,yes,yes,None,None,5,sing,plur,sing,chef,veut,entend,Ce chef proche du veut entend un soldat.,visual
81,81,GDLS,pp,no,yes,no,no,6,plur,sing,sing,clients,marchand,séduit,Des clients auprès du marchand séduit des marins.,visual
82,82,obj_filler,obj,yes,yes,None,None,7,sing,sing,sing,champion,client,bénit,Ce champion que le client bénit boucher souvent.,visual
83,83,pp_filler,pp,yes,yes,None,None,5,plur,sing,plur,coiffeurs,vomissent,craignent,Les coiffeurs loin des vomissent craignent les marins.,visual
84,84,GDLS,obj,no,no,no,yes,None,plur,sing,sing,chefs,client,reçoit,Des chefs que ce client reçoit savent conduire.,visual
85,85,GSLS,pp,no,no,yes,no,None,plur,plur,plur,chanteurs,gérants,défendent,Ces chanteurs près des gérants défendent ces serveurs.,visual
86,86,GSLS,pp,no,no,yes,no,None,plur,plur,plur,champions,malades,attendent,Les champions loin des malades attendent ces plombiers.,visual
87,87,GSLD,pp,no,no,no,yes,None,plur,sing,plur,facteurs,notaire,décrivent,Les facteurs loin du notaire décrivent ces serveurs.,visual
88,88,GDLS,obj,no,no,no,yes,None,sing,plur,plur,marchand,plombiers,défendent,Le marchand que les plombiers défendent peint toujours.,visual
89,89,GDLS,pp,no,yes,no,no,6,sing,plur,plur,dentiste,marchands,séduisent,Le dentiste près des marchands séduisent le soldat.,visual
