trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,rest_duration
trial_29,GDLS,lr_obj,no,no,yes,None,sing,plur,plur,chanteur,marins,entendent,Un chanteur que ces marins entendent ment souvent.,auditory,les,False,6.5
trial_30,GDLD,lr_pp,yes,yes,yes,6,plur,plur,sing,bouchers,marins,défend,Ces bouchers près des marins défend les médecins.,auditory,des,True,7.0
trial_31,GDLS,lr_pp,yes,no,no,6,sing,plur,plur,gérant,peintres,reçoivent,Le gérant proche des peintres reçoivent le prêtre.,auditory,peintres,True,5.0
trial_32,GSLS,lr_obj,no,yes,no,None,sing,sing,sing,marchand,marin,plaint,Un marchand que le marin plaint vomit partout.,auditory,plombier,False,5.5
trial_33,GSLD,lr_pp,no,no,yes,None,sing,plur,sing,client,libraires,entend,Le client auprès des libraires entend ce marin.,auditory,entend,True,6.0
trial_34,GDLD,lr_obj,yes,yes,yes,6,sing,sing,plur,dentiste,pompier,émeuvent,Le dentiste que ce pompier émeuvent vomit encore.,auditory,ce,True,6.5
trial_35,GDLD,lr_obj,yes,yes,yes,6,plur,plur,sing,gérants,malades,plaint,Les gérants que les malades plaint écrivent toujours.,auditory,bénit,False,7.0
trial_36,GSLD,lr_obj,yes,no,no,6,plur,sing,plur,dentistes,prêtre,séduisent,Des dentistes que ce prêtre séduisent répondent rarement.,auditory,dentistes,True,5.0
trial_37,GDLS,lr_obj,no,no,yes,None,plur,sing,sing,comédiens,facteur,reçoit,Les comédiens que le facteur reçoit veulent dormir.,auditory,que,True,5.5
trial_38,GS,sr_pp,no,yes,no,None,sing,sing,sing,danseur,marin,émeut,Proche du danseur le marin émeut un matelot.,auditory,émeut,True,6.0
trial_39,GSLD,lr_pp,no,no,yes,None,plur,sing,plur,matelots,prêtre,endorment,Les matelots proche du prêtre endorment des soldats.,auditory,prêtres,False,6.5
trial_40,GDLD,lr_pp,yes,yes,yes,6,sing,sing,plur,chanteur,marchand,attendent,Le chanteur loin du marchand attendent le prêtre.,auditory,facteur,False,7.0
