,Unnamed: 0,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
18,18,GDLD,obj,no,yes,yes,yes,6,plur,plur,sing,bouchers,chefs,entend,Des bouchers que ces chefs entend veulent dormir.,visual
19,19,GDLS,obj,no,no,no,yes,None,plur,sing,sing,dentistes,notaire,hait,Ces dentistes que le notaire hait partent demain.,visual
20,20,pp_filler,pp,yes,yes,None,None,5,plur,sing,plur,coiffeurs,vomissent,séduisent,Ces coiffeurs loin des vomissent séduisent les pompiers.,visual
21,21,pp_filler,pp,yes,yes,None,None,5,plur,sing,plur,chefs,repartent,endorment,Les chefs proche des repartent endorment ces marins.,visual
22,22,GDLS,pp,no,yes,no,no,6,plur,sing,sing,coiffeurs,malade,bénit,Ces coiffeurs près du malade bénit des pompiers.,visual
23,23,GDLS,pp,no,yes,no,no,6,plur,sing,sing,facteurs,marin,suit,Des facteurs proche du marin suit ces notaires.,visual
24,24,GDLD,obj,no,yes,yes,yes,6,sing,sing,plur,champion,marchand,décrivent,Le champion que ce marchand décrivent veut dormir.,visual
25,25,GSLS,obj,no,no,yes,no,None,sing,sing,sing,gardien,gérant,suit,Le gardien que le gérant suit part lentement.,visual
26,26,GSLD,obj,no,yes,no,no,6,sing,plur,sing,danseur,matelots,punit,Un danseur que les matelots punit écrit toujours.,visual
27,27,GDLS,pp,no,yes,no,no,6,plur,sing,sing,clients,libraire,suit,Les clients proche du libraire suit des notaires.,visual
28,28,GDLS,pp,no,yes,no,no,6,sing,plur,plur,champion,plombiers,décrivent,Un champion proche des plombiers décrivent le soldat.,visual
29,29,GDLD,pp,no,yes,yes,yes,6,plur,plur,sing,clients,libraires,bénit,Les clients loin des libraires bénit des serveurs.,visual
30,30,GSLD,obj,no,yes,no,no,6,plur,sing,plur,danseurs,patient,reçoivent,Des danseurs que ce patient reçoivent mentent toujours.,visual
31,31,GSLS,obj,no,no,yes,no,None,plur,plur,plur,danseurs,plombiers,séduisent,Des danseurs que ces plombiers séduisent doivent manger.,visual
32,32,GDLS,obj,no,no,no,yes,None,plur,sing,sing,chefs,danseur,endort,Ces chefs que le danseur endort vomissent souvent.,visual
33,33,GDLS,obj,no,no,no,yes,None,sing,plur,plur,dentiste,malades,défendent,Ce dentiste que les malades défendent sait danser.,visual
34,34,GSLS,obj,no,no,yes,no,None,sing,sing,sing,coiffeur,malade,attend,Un coiffeur que le malade attend ment toujours.,visual
35,35,GDLD,obj,no,yes,yes,yes,6,sing,sing,plur,chanteur,malade,servent,Un chanteur que ce malade servent sait conduire.,visual
36,36,GDLS,obj,no,no,no,yes,None,sing,plur,plur,facteur,malades,défendent,Un facteur que ces malades défendent veut mourir.,visual
37,37,GSLS,obj,no,no,yes,no,None,plur,plur,plur,coiffeurs,gardiens,entendent,Des coiffeurs que les gardiens entendent repartent aussitôt.,visual
38,38,GSLD,pp,no,no,no,yes,None,plur,sing,plur,chefs,matelot,reçoivent,Des chefs près du matelot reçoivent ces serveurs.,visual
39,39,GDLS,pp,no,yes,no,no,6,plur,sing,sing,champions,dentiste,attend,Ces champions auprès du dentiste attend ces facteurs.,visual
40,40,GSLD,obj,no,yes,no,no,6,plur,sing,plur,clients,matelot,craignent,Ces clients que ce matelot craignent savent conduire.,visual
41,41,GSLD,obj,no,yes,no,no,6,plur,sing,plur,chefs,marin,entendent,Des chefs que ce marin entendent repartent demain.,visual
42,42,GSLD,obj,no,yes,no,no,6,sing,plur,sing,boucher,coiffeurs,entend,Le boucher que ces coiffeurs entend ment rarement.,visual
43,43,GDLD,pp,no,yes,yes,yes,6,plur,plur,sing,coiffeurs,comédiens,plaint,Les coiffeurs auprès des comédiens plaint des gérants.,visual
44,44,GSLS,pp,no,no,yes,no,None,plur,plur,plur,chanteurs,dentistes,défendent,Des chanteurs auprès des dentistes défendent des marins.,visual
45,45,GDLS,obj,no,no,no,yes,None,sing,plur,plur,client,juges,élisent,Le client que ces juges élisent repart déjà.,visual
46,46,GDLD,pp,no,yes,yes,yes,6,plur,plur,sing,clients,marins,bénit,Ces clients proche des marins bénit des prêtres.,visual
47,47,GSLS,pp,no,no,yes,no,None,plur,plur,plur,facteurs,gardiens,craignent,Ces facteurs proche des gardiens craignent des soldats.,visual
48,48,GDLD,pp,no,yes,yes,yes,6,sing,sing,plur,danseur,libraire,plaignent,Ce danseur près du libraire plaignent le marchand.,visual
49,49,GSLD,obj,no,yes,no,no,6,sing,plur,sing,client,coiffeurs,sert,Un client que ces coiffeurs sert vomit encore.,visual
50,50,GSLD,pp,no,no,no,yes,None,sing,plur,sing,chef,matelots,sert,Un chef loin des matelots sert ce patient.,visual
51,51,GSLS,obj,no,no,yes,no,None,sing,sing,sing,coiffeur,marin,sert,Un coiffeur que ce marin sert doit dormir.,visual
52,52,GDLS,obj,no,no,no,yes,None,sing,plur,plur,boucher,chanteurs,attendent,Un boucher que ces chanteurs attendent ment rarement.,visual
53,53,GDLD,obj,no,yes,yes,yes,6,plur,plur,sing,coiffeurs,danseurs,hait,Des coiffeurs que ces danseurs hait peignent rarement.,visual
54,54,GSLS,obj,no,no,yes,no,None,plur,plur,plur,facteurs,soldats,émeuvent,Des facteurs que ces soldats émeuvent veulent manger.,visual
55,55,obj_filler,obj,yes,yes,None,None,7,sing,sing,sing,chef,facteur,bénit,Le chef que ce facteur bénit peintre danser.,visual
56,56,obj_filler,obj,yes,yes,None,None,7,sing,sing,sing,boucher,malade,attend,Le boucher que ce malade attend serveur partir.,visual
57,57,GSLD,pp,no,no,no,yes,None,sing,plur,sing,boucher,juges,séduit,Ce boucher loin des juges séduit ce prêtre.,visual
58,58,obj_filler,obj,yes,yes,None,None,7,plur,plur,plur,matelots,notaires,attendent,Les matelots que les notaires attendent gardiens partir.,visual
59,59,GSLS,pp,no,no,yes,no,None,plur,plur,plur,marchands,plombiers,endorment,Les marchands loin des plombiers endorment les serveurs.,visual
60,60,GDLD,pp,no,yes,yes,yes,6,sing,sing,plur,boucher,chef,séduisent,Ce boucher près du chef séduisent un coiffeur.,visual
61,61,GSLS,pp,no,no,yes,no,None,plur,plur,plur,coiffeurs,gardiens,émeuvent,Des coiffeurs loin des gardiens émeuvent des juges.,visual
62,62,obj_filler,obj,yes,yes,None,None,7,plur,plur,plur,bouchers,libraires,attendent,Les bouchers que ces libraires attendent coiffeurs parfois.,visual
63,63,GSLS,obj,no,no,yes,no,None,plur,plur,plur,clients,marins,défendent,Des clients que les marins défendent vomissent encore.,visual
64,64,GSLS,pp,no,no,yes,no,None,sing,sing,sing,boucher,chanteur,élit,Un boucher près du chanteur élit un médecin.,visual
65,65,GDLS,pp,no,yes,no,no,6,sing,plur,plur,coiffeur,libraires,haïssent,Un coiffeur auprès des libraires haïssent un plombier.,visual
66,66,GSLD,pp,no,no,no,yes,None,plur,sing,plur,gardiens,médecin,bénissent,Des gardiens proche du médecin bénissent les vendeurs.,visual
67,67,GDLD,obj,no,yes,yes,yes,6,plur,plur,sing,dentistes,marins,attend,Les dentistes que ces marins attend peignent souvent.,visual
68,68,GDLS,pp,no,yes,no,no,6,sing,plur,plur,gardien,notaires,endorment,Le gardien proche des notaires endorment un serveur.,visual
69,69,GDLS,pp,no,yes,no,no,6,sing,plur,plur,chef,médecins,haïssent,Le chef auprès des médecins haïssent le serveur.,visual
70,70,GDLD,pp,no,yes,yes,yes,6,plur,plur,sing,comédiens,marchands,émeut,Ces comédiens auprès des marchands émeut ces plombiers.,visual
71,71,GSLD,pp,no,no,no,yes,None,sing,plur,sing,gérant,notaires,bénit,Le gérant proche des notaires bénit ce peintre.,visual
72,72,GDLD,pp,no,yes,yes,yes,6,sing,sing,plur,gardien,malade,entendent,Ce gardien proche du malade entendent le pompier.,visual
73,73,GDLS,pp,no,yes,no,no,6,sing,plur,plur,boucher,facteurs,attendent,Un boucher près des facteurs attendent ce marchand.,visual
74,74,pp_filler,pp,yes,yes,None,None,5,sing,plur,sing,gardien,repart,bénit,Ce gardien près du repart bénit ce notaire.,visual
75,75,GSLD,pp,no,no,no,yes,None,plur,sing,plur,bouchers,chef,décrivent,Les bouchers loin du chef décrivent des libraires.,visual
76,76,GSLS,pp,no,no,yes,no,None,sing,sing,sing,chanteur,gardien,entend,Un chanteur loin du gardien entend le gérant.,visual
77,77,GDLD,pp,no,yes,yes,yes,6,plur,plur,sing,danseurs,juges,entend,Des danseurs proche des juges entend des pompiers.,visual
78,78,GDLD,obj,no,yes,yes,yes,6,sing,sing,plur,comédien,libraire,attendent,Ce comédien que ce libraire attendent veut manger.,visual
79,79,GSLS,obj,no,no,yes,no,None,plur,plur,plur,bouchers,champions,craignent,Les bouchers que ces champions craignent peignent toujours.,visual
80,80,GSLS,pp,no,no,yes,no,None,sing,sing,sing,chef,gardien,bénit,Le chef près du gardien bénit le patient.,visual
81,81,GSLD,pp,no,no,no,yes,None,plur,sing,plur,champions,libraire,défendent,Les champions proche du libraire défendent ces peintres.,visual
82,82,GSLS,obj,no,no,yes,no,None,sing,sing,sing,comédien,gardien,séduit,Le comédien que ce gardien séduit doit dormir.,visual
83,83,GSLD,obj,no,yes,no,no,6,sing,plur,sing,champion,marins,décrit,Un champion que ces marins décrit sait nager.,visual
84,84,GSLD,pp,no,no,no,yes,None,plur,sing,plur,champions,notaire,endorment,Des champions auprès du notaire endorment ces pompiers.,visual
85,85,GSLD,obj,no,yes,no,no,6,sing,plur,sing,libraire,marchands,émeut,Le libraire que les marchands émeut écrit rarement.,visual
86,86,GDLD,obj,no,yes,yes,yes,6,plur,plur,sing,clients,coiffeurs,séduit,Les clients que ces coiffeurs séduit mentent parfois.,visual
87,87,GSLD,pp,no,no,no,yes,None,sing,plur,sing,danseur,gérants,suit,Un danseur loin des gérants suit un notaire.,visual
88,88,GDLD,obj,no,yes,yes,yes,6,plur,plur,sing,champions,comédiens,sert,Les champions que les comédiens sert partent lentement.,visual
89,89,obj_filler,obj,yes,yes,None,None,7,plur,plur,plur,dentistes,marins,attendent,Ces dentistes que les marins attendent comédiens encore.,visual
