,trial,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
29,trial_30,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,gérants,libraire,séduit,Les gérants proche du libraire séduit ces marchands.,auditory
30,trial_31,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,chefs,libraires,plaint,Des chefs que les libraires plaint doivent manger.,auditory
31,trial_32,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,champions,matelots,entendent,Près des champions les matelots entendent ces pompiers.,auditory
32,trial_33,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,gardien,marchand,endorment,Proche du gardien le marchand endorment ce notaire.,auditory
33,trial_34,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,clients,plombiers,décrit,Près des clients des plombiers décrit des serveurs.,auditory
34,trial_35,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,champion,notaire,attend,Loin du champion un notaire attend ce serveur.,auditory
35,trial_36,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,chanteurs,gérants,émeuvent,Des chanteurs que les gérants émeuvent savent conduire.,auditory
36,trial_37,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,clients,comédien,émeut,Des clients proche du comédien émeut ces patients.,auditory
37,trial_38,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,libraires,notaire,punissent,Des libraires que ce notaire punissent écrivent rarement.,auditory
38,trial_39,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,dentistes,facteurs,attendent,Les dentistes proche des facteurs attendent des prêtres.,auditory
39,trial_40,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,champions,dentistes,craignent,Auprès des champions ces dentistes craignent ces malades.,auditory
