trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,trial_duration
trial_21,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,chanteurs,chefs,craint,Ces chanteurs que les chefs craint vomissent parfois.,auditory,parfois,True,5.0
trial_22,GSLD,lr_pp,no,no,yes,,sing,plur,sing,médecin,peintres,entend,Un médecin loin des peintres entend le vendeur.,auditory,le,True,5.5
trial_23,GS,sr_pp,no,yes,no,,sing,sing,sing,chanteur,comédien,émeut,Loin du chanteur un comédien émeut ce matelot.,auditory,matelot,True,6.0
trial_24,GSLS,lr_obj,no,yes,no,,plur,plur,plur,champions,pompiers,bénissent,Les champions que les pompiers bénissent vomissent souvent.,auditory,champions,True,6.5
trial_25,GSLS,lr_pp,no,yes,no,,plur,plur,plur,chanteurs,dentistes,entendent,Des chanteurs auprès des dentistes entendent des médecins.,auditory,plaignent,False,7.0
trial_26,GSLS,lr_obj,no,yes,no,,sing,sing,sing,patient,plombier,bénit,Ce patient que ce plombier bénit répond rarement.,auditory,répond,True,5.0
trial_27,GS,sr_pp,no,yes,no,,plur,plur,plur,chanteurs,marins,servent,Loin des chanteurs des marins servent les peintres.,auditory,chanteurs,True,5.5
trial_28,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,chanteur,client,reçoivent,Près du chanteur un client reçoivent ce facteur.,auditory,Proche,False,6.0
trial_29,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,bouchers,facteurs,défend,Ces bouchers près des facteurs défend des soldats.,auditory,facteurs,True,6.5
trial_30,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,chef,client,servent,Un chef que le client servent écrit rarement.,auditory,rarement,True,7.0
trial_31,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,gérant,marchand,servent,Le gérant proche du marchand servent un notaire.,auditory,élisent,False,5.0
trial_32,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,marchands,marin,émeut,Les marchands proche du marin émeut des notaires.,auditory,ces,False,5.5
trial_33,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,champions,clients,reçoit,Auprès des champions ces clients reçoit les facteurs.,auditory,des,True,6.0
trial_34,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,gardiens,matelot,élisent,Les gardiens que le matelot élisent doivent partir.,auditory,mentent,False,6.5
trial_35,GDLS,lr_obj,no,no,yes,,sing,plur,plur,client,patients,endorment,Ce client que les patients endorment sait cuisiner.,auditory,Ce,True,7.0
trial_36,GSLS,lr_pp,no,yes,no,,sing,sing,sing,champion,médecin,sert,Un champion proche du médecin sert ce soldat.,auditory,médecin,True,5.0
trial_37,GSLD,lr_pp,no,no,yes,,plur,sing,plur,facteurs,juge,élisent,Ces facteurs proche du juge élisent les marins.,auditory,marins,True,5.5
trial_38,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,boucher,champions,plaint,Le boucher que ces champions plaint peint toujours.,auditory,rarement,False,6.0
trial_39,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,champion,notaires,punissent,Ce champion loin des notaires punissent ce peintre.,auditory,ce,True,6.5
trial_40,GDLS,lr_obj,no,no,yes,,plur,sing,sing,coiffeurs,juge,reçoit,Ces coiffeurs que le juge reçoit mentent parfois.,auditory,ce,False,7.0
