trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,rest_duration
trial_13,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,chanteur,comédiens,entend,Un chanteur que ces comédiens entend peint parfois.,visual,parfois,True,6.0
trial_14,GSLS,lr_pp,no,yes,no,,plur,plur,plur,coiffeurs,plombiers,séduisent,Les coiffeurs auprès des plombiers séduisent ces prêtres.,visual,ces,True,6.5
trial_15,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,chefs,danseur,décrivent,Ces chefs que ce danseur décrivent savent nager.,visual,savent,True,7.0
trial_16,GSLS,lr_obj,no,yes,no,,sing,sing,sing,médecin,peintre,entend,Le médecin que le peintre entend part demain.,visual,auprès,False,5.0
trial_17,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,médecin,notaire,attendent,Le médecin que ce notaire attendent part lentement.,visual,ce,True,5.5
trial_18,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,client,gérants,punissent,Un client proche des gérants punissent ce juge.,visual,gardien,False,6.0
trial_19,GDLS,lr_obj,no,no,yes,,sing,plur,plur,boucher,facteurs,attendent,Un boucher que les facteurs attendent vomit souvent.,visual,souvent,True,6.5
trial_20,GSLD,lr_pp,no,no,yes,,plur,sing,plur,bouchers,coiffeur,punissent,Des bouchers loin du coiffeur punissent les notaires.,visual,ces,False,7.0
trial_21,GS,sr_pp,no,yes,no,,sing,sing,sing,client,matelot,endort,Proche du client un matelot endort un soldat.,auditory,entend,False,5.0
trial_22,GSLS,lr_pp,no,yes,no,,sing,sing,sing,champion,libraire,plaint,Le champion proche du libraire plaint le serveur.,auditory,vendeur,False,5.5
trial_23,GSLD,lr_pp,no,no,yes,,plur,sing,plur,champions,gardien,attendent,Les champions loin du gardien attendent les malades.,auditory,gardien,True,6.0
trial_24,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,matelot,notaires,émeut,Ce matelot que les notaires émeut peint parfois.,auditory,auprès,False,6.5
trial_25,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,coiffeurs,comédiens,défend,Près des coiffeurs les comédiens défend les serveurs.,auditory,Proche,False,7.0
trial_26,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,chanteurs,coiffeur,reçoivent,Des chanteurs que le coiffeur reçoivent savent danser.,auditory,gardien,False,5.0
trial_27,GSLS,lr_obj,no,yes,no,,plur,plur,plur,danseurs,gérants,suivent,Ces danseurs que les gérants suivent vomissent parfois.,auditory,les,True,5.5
trial_28,GDLS,lr_obj,no,no,yes,,sing,plur,plur,danseur,pompiers,entendent,Ce danseur que ces pompiers entendent vomit souvent.,auditory,près,False,6.0
trial_29,GSLD,lr_pp,no,no,yes,,sing,plur,sing,champion,clients,bénit,Le champion près des clients bénit ce serveur.,auditory,boucher,False,6.5
trial_30,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,bouchers,chefs,sert,Ces bouchers près des chefs sert ces peintres.,auditory,des,True,7.0
trial_31,GSLS,lr_obj,no,yes,no,,sing,sing,sing,chef,client,suit,Ce chef que le client suit peint souvent.,auditory,le,True,5.0
trial_32,GDLS,lr_obj,no,no,yes,,plur,sing,sing,malades,serveur,suit,Les malades que ce serveur suit mentent toujours.,auditory,partent,False,5.5
trial_33,GS,sr_pp,no,yes,no,,plur,plur,plur,gérants,juges,endorment,Près des gérants des juges endorment des marchands.,auditory,endorment,True,6.0
trial_34,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,matelot,serveur,punissent,Le matelot que le serveur punissent peint parfois.,auditory,rarement,False,6.5
trial_35,GSLS,lr_pp,no,yes,no,,plur,plur,plur,bouchers,juges,attendent,Ces bouchers loin des juges attendent ces notaires.,auditory,soldats,False,7.0
trial_36,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,danseur,marchand,reçoivent,Ce danseur proche du marchand reçoivent un soldat.,auditory,Le,False,5.0
trial_37,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,chanteur,chefs,servent,Un chanteur loin des chefs servent le vendeur.,auditory,loin,True,5.5
trial_38,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,client,danseur,décrivent,Auprès du client ce danseur décrivent un vendeur.,auditory,le,False,6.0
trial_39,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,chanteurs,prêtre,sert,Des chanteurs proche du prêtre sert les vendeurs.,auditory,gérants,False,6.5
trial_40,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,chefs,gardiens,sert,Des chefs que les gardiens sert partent demain.,auditory,lentement,False,7.0
