infinitive,third_s,third_p,levenshtein,infitive_freq,third_s_nl,third_p_nl,l_difference,english,transitivity
nuire,nuit,nuisent,3,1.31,4,7,3,harm,transitive
retordre,retord,retordent,3,1.29,6,9,3,twist,transitive
fendre,fend,fendent,3,1.2,4,7,3,split,transitive
pondre,pond,pondent,3,1.18,4,7,3,lay,intransitive
craindre,craint,craignent,3,0.82,6,9,3,to fear,transitive
éclore,éclot,éclosent,3,0.82,5,8,3,hatch,transitive
coudre,coud,cousent,4,0.63,4,7,3,to sew,transitive
rouvrir,rouvre,rouvrent,2,0.62,6,8,2,reopen,transitive
départir,départ,départent,3,0.62,6,9,3,to leave,intransitive
parfaire,parfait,parfont,2,0.58,7,7,0,perfect,transitive
naître,naît,naissent,5,0.57,4,8,4,be born,intransitive
réduire,réduit,réduisent,3,0.53,6,9,3,reduce,transitive
ensuivre,ensuit,ensuivent,3,0.52,6,9,3,to follow,transitive
rasseoir,rassied,rasseyent,4,0.52,7,9,2,re-setter,intransitive
revendre,revend,revendent,3,0.51,6,9,3,resell,transitive
tondre,tond,tondent,3,0.48,4,7,3,mow,transitive
redire,redit,redisent,3,0.47,5,8,3,to repeat,transitive
remordre,remord,remordent,3,0.43,6,9,3,regret,transitive
paître,paît,paissent,5,0.39,4,8,4,graze,?
moudre,moud,moulent,4,0.38,4,7,3,grind,Intransitive ?
démentir,dément,démentent,3,0.37,6,9,3,deny,transitive
cuire,cuit,cuisent,3,0.35,4,7,3,cook,transitive
braire,brait,braient,2,0.34,5,7,2,bray,intransitive
choir,choit,choient,2,0.33,5,7,2,choose,transitive
recevoir,reçoit,reçoivent,3,0.32,6,9,3,to receive,transitive
plaindre,plaint,plaignent,3,0.28,6,9,3,complain,transitive
traire,trait,traient,2,0.27,5,7,2,to milk,transitive
gésir,gît,gisent,4,0.26,3,6,3,lie,intransitive/transitive
taire,tait,taisent,3,0.22,4,7,3,to hush up,intransitive
échoir,échoit,échoient,2,0.2,6,8,2,expire,intransitive
extraire,extrait,extraient,2,0.19,7,9,2,extract,transitive
éteindre,éteint,éteignent,3,0.18,6,9,3,switch off,transitive
reboire,reboit,reboisent,3,0.17,6,9,3,drink again,transitive
peindre,peint,peignent,3,0.16,5,8,3,to paint,transitive
séduire,séduit,séduisent,3,0.16,6,9,3,seduce,transitive
éperdre,éperd,éperdent,3,0.16,5,8,3,lose,transitive/intransitive
endormir,endort,endorment,3,0.14,6,9,3,fall asleep,intransitive
vaincre,vainc,vainquent,5,0.14,5,9,4,conquer,transitive
refondre,refond,refondent,3,0.14,6,9,3,redesign,transitive
teindre,teint,teignent,3,0.14,5,8,3,stain,transitive
émouvoir,émeut,émeuvent,3,0.14,5,8,3,move,transitive
rompre,rompt,rompent,2,0.13,5,7,2,to break up,intransitive
omettre,omet,omettent,4,0.13,4,8,4,omit,transitive
recoudre,recoud,recousent,4,0.11,6,9,3,stitch,transitive
poindre,point,poignent,3,0.11,5,8,3,dawn,intransitive
médire,médit,médisent,3,0.11,5,8,3,mediate,intransitive
feindre,feint,feignent,3,0.11,5,8,3,pretend,intransitive
recourir,recourt,recourent,2,0.1,7,9,2,use,transitive
réélire,réélit,réélisent,3,0.1,6,9,3,re-elect,intransitive
surseoir,sursoit,sursoient,2,0.1,7,9,2,suspend,transitive
joindre,joint,joignent,3,0.1,5,8,3,join,transitive
déduire,déduit,déduisent,3,0.05,6,9,3,deduct,transitive
ouïr,oit,oient,2,0.05,3,5,2,hear,transitive/intransitive
démordre,démord,démordent,3,0.05,6,9,3,twist,transitive
relire,relit,relisent,3,0.04,5,8,3,reread,transitive
accourir,accourt,accourent,2,0.04,7,9,2,browse,transitive
ascendre,ascend,ascendent,3,0.04,6,9,3,ascend,transitive
revouloir,reveut,reveulent,3,0.04,6,9,3,come back,intransitive
démettre,démet,démettent,4,0.04,5,9,4,dismiss,transitive
décrire,décrit,décrivent,3,0.04,6,9,3,to describe,transitive
encourir,encourt,encourent,2,0.03,7,9,2,incur,transitive
récrire,récrit,récrivent,3,0.03,6,9,3,rewrite,transitive
attraire,attrait,attraient,2,0.02,7,9,2,attract,transitive
émoudre,émoud,émoulent,4,0.02,5,8,3,emulate,transitive
mouvoir,meut,meuvent,3,0.02,4,7,3,move,transitive
recuire,recuit,recuisent,3,0.02,6,9,3,anneal,transitive
reluire,reluit,reluisent,3,0.02,6,9,3,read more at,transitive
cueillir,cueille,cueillent,2,0.02,7,9,2,gather,transitive
enduire,enduit,enduisent,3,0.01,6,9,3,smear,intransitive
prendre,prend,prennent,4,0.01,5,8,3,take,transitive
redormir,redort,redorment,3,0.01,6,9,3,sleep again,intransitive
dédire,dédit,dédisent,3,0.01,5,8,3,to say,transitive
retraire,retrait,retraient,2,0.01,7,9,2,Retrieve,transitive
déclore,déclot,déclosent,3,0.01,6,9,3,decorate,transitive
détordre,détord,détordent,3,0.01,6,9,3,untangle,transitive
clore,clôt,closent,4,0.01,4,7,3,close,transitive
élire,élit,élisent,3,0.01,4,7,3,elect,transitive
confire,confit,confisent,3,0.01,6,9,3,confide,transitive
prédire,prédit,prédisent,3,0.01,6,9,3,to predict,transitive
prévaloir,prévaut,prévalent,3,0.01,7,9,2,prevail,intransitive
secourir,secourt,secourent,2,0,7,9,2,to rescue,transitive
éprendre,éprend,éprennent,4,0,6,9,3,experience,transitive
épandre,épand,épandent,3,0,5,8,3,spread,intransitive
seoir,sied,siéent,3,0,4,6,2,sit,transitive/intransitive
absoudre,absout,absolvent,4,0,6,9,3,absolve,intransitive
croître,croît,croissent,5,0,5,9,4,grow,intransitive
découdre,découd,décousent,4,0,6,9,3,visit,transitive/intransitive
déchoir,déchoit,déchoient,2,0,7,9,2,decay,intransitive
décevoir,déçoit,déçoivent,3,0,6,9,3,disappoint,intransitive
chauvir,chauvit,chauvent,2,0,7,8,1,,
ceindre,ceint,ceignent,3,0,5,8,3,ring,transitive
bouillir,bout,bouillent,5,0,4,9,5,boil,intransitive
ardre,ard,ardent,3,0,3,6,3,,
appendre,append,appendent,3,0,6,9,3,to learn,transitive
enclore,enclôt,enclosent,4,0,6,9,3,hides,intransitive
revivre,revit,revivent,3,0,5,8,3,relive,intransitive
retendre,retend,retendent,3,0,6,9,3,tighten,transitive
rependre,repend,rependent,3,0,6,9,3,retake,transitive
redevoir,reçoit,reçoivent,3,0,6,9,3,redesign,transitive
prévoir,prévoit,prévoient,2,0,7,9,2,provide,transitive
oindre,oint,oignent,3,0,4,7,3,,
mécroire,mécrait,mécront,2,0,7,7,0,sponsor,transitive
induire,induit,induisent,3,0,6,9,3,induce,transitive
inclure,inclut,incluent,2,0,6,8,2,include,transitive
geindre,geint,geignent,3,0,5,8,3,moan,intransitive
occlure,occlut,occluent,2,0,6,8,2,occlude,transitive
