,trial,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
16,trial_17,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,gardiens,médecins,défend,Les gardiens auprès des médecins défend les pompiers.,auditory
17,trial_18,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,chanteur,danseur,élisent,Près du chanteur le danseur élisent ce notaire.,auditory
18,trial_19,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,gérant,marchand,entend,Ce gérant proche du marchand entend le serveur.,auditory
19,trial_20,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,gardien,plombier,servent,Un gardien que le plombier servent sait nager.,auditory
20,trial_21,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,bouchers,chanteur,hait,Ces bouchers que le chanteur hait mentent rarement.,auditory
21,trial_22,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,gardiens,gérant,décrivent,Les gardiens que le gérant décrivent veulent dormir.,auditory
22,trial_23,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,gérant,médecin,punit,Auprès du gérant un médecin punit le plombier.,auditory
23,trial_24,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,coiffeur,juge,suit,Ce coiffeur près du juge suit ce vendeur.,auditory
24,trial_25,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,coiffeur,peintre,punissent,Ce coiffeur loin du peintre punissent ce plombier.,auditory
25,trial_26,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,chef,soldats,endort,Un chef près des soldats endort ce vendeur.,auditory
26,trial_27,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,comédiens,matelots,craint,Ces comédiens que les matelots craint repartent dehors.,auditory
27,trial_28,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,chanteur,chefs,défend,Un chanteur que les chefs défend doit payer.,auditory
28,trial_29,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,boucher,gardien,suit,Auprès du boucher un gardien suit ce peintre.,auditory
29,trial_30,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,dentistes,facteurs,haïssent,Les dentistes loin des facteurs haïssent des soldats.,auditory
30,trial_31,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,bouchers,chanteur,suit,Les bouchers près du chanteur suit des gérants.,auditory
31,trial_32,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,facteurs,libraire,endorment,Ces facteurs que ce libraire endorment vomissent parfois.,auditory
32,trial_33,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,gérant,marins,élisent,Un gérant auprès des marins élisent le serveur.,auditory
33,trial_34,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,champions,chefs,craint,Des champions loin des chefs craint ces peintres.,auditory
34,trial_35,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,dentistes,médecin,suit,Des dentistes que ce médecin suit peignent souvent.,auditory
35,trial_36,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,coiffeurs,matelot,plaignent,Les coiffeurs loin du matelot plaignent ces médecins.,auditory
36,trial_37,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,clients,plombiers,entend,Auprès des clients des plombiers entend ces soldats.,auditory
37,trial_38,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,comédiens,facteurs,bénit,Auprès des comédiens les facteurs bénit les peintres.,auditory
38,trial_39,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,client,marchand,défendent,Le client que ce marchand défendent part lentement.,auditory
39,trial_40,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,danseurs,peintres,punissent,Auprès des danseurs des peintres punissent des plombiers.,auditory
