trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,trial_duration
trial_28,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,chef,comédiens,haïssent,Un chef loin des comédiens haïssent le malade.,auditory,ce,False,6.0
trial_29,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,gardiens,marin,attend,Ces gardiens loin du marin attend ces patients.,auditory,facteurs,False,6.5
trial_30,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,bouchers,clients,élit,Loin des bouchers des clients élit des gardiens.,auditory,bouchers,True,7.0
trial_31,GSLD,lr_pp,no,no,yes,,sing,plur,sing,facteur,gardiens,décrit,Un facteur près des gardiens décrit ce marchand.,auditory,séduit,False,5.0
trial_32,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,comédien,danseur,reçoivent,Le comédien que le danseur reçoivent répond lentement.,auditory,le,True,5.5
trial_33,GDLS,lr_obj,no,no,yes,,sing,plur,plur,libraire,médecins,attendent,Un libraire que ces médecins attendent part demain.,auditory,facteurs,False,6.0
trial_34,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,client,notaires,craint,Un client que ces notaires craint veut mourir.,auditory,gardiens,False,6.5
trial_35,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,boucher,dentiste,craignent,Proche du boucher un dentiste craignent le marin.,auditory,ce,False,7.0
trial_36,GSLS,lr_pp,no,yes,no,,sing,sing,sing,libraire,matelot,défend,Un libraire près du matelot défend le patient.,auditory,notaire,False,5.0
trial_37,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,chanteur,prêtre,bénissent,Le chanteur loin du prêtre bénissent le soldat.,auditory,Ce,False,5.5
trial_38,GDLS,lr_obj,no,no,yes,,plur,sing,sing,champions,chef,craint,Les champions que ce chef craint écrivent toujours.,auditory,Les,True,6.0
trial_39,GSLS,lr_obj,no,yes,no,,plur,plur,plur,champions,dentistes,entendent,Les champions que ces dentistes entendent partent demain.,auditory,partent,True,6.5
trial_40,GSLS,lr_obj,no,yes,no,,sing,sing,sing,matelot,peintre,suit,Ce matelot que le peintre suit veut partir.,auditory,le,True,7.0
