,Unnamed: 0,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
24,24,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,comédien,facteurs,élisent,Un comédien loin des facteurs élisent ce marin.,visual
25,25,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,boucher,chanteur,endort,Près du boucher ce chanteur endort un marin.,visual
26,26,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,chanteurs,coiffeur,défendent,Les chanteurs que ce coiffeur défendent repartent aussitôt.,visual
27,27,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,coiffeurs,danseurs,craignent,Auprès des coiffeurs ces danseurs craignent les gardiens.,visual
28,28,GSLS,lr_pp,no,no,yes,no,,sing,sing,sing,marin,matelot,défend,Le marin proche du matelot défend le plombier.,visual
29,29,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,bouchers,client,défend,Ces bouchers proche du client défend les libraires.,visual
30,30,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,champions,comédiens,craignent,Les champions que les comédiens craignent vomissent partout.,visual
31,31,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,chefs,matelots,haïssent,Des chefs proche des matelots haïssent des plombiers.,visual
32,32,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,boucher,comédien,reçoivent,Ce boucher proche du comédien reçoivent le soldat.,visual
33,33,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,champions,patient,reçoivent,Les champions que le patient reçoivent repartent dehors.,visual
34,34,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,gardiens,gérant,élit,Des gardiens que ce gérant élit doivent dormir.,visual
35,35,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,bouchers,matelots,bénit,Des bouchers que les matelots bénit veulent manger.,visual
36,36,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,gardiens,libraires,séduisent,Auprès des gardiens les libraires séduisent ces notaires.,visual
37,37,GDLD,sr_pp,no,yes,yes,yes,6.0,sing,sing,plur,gardien,pompier,suivent,Proche du gardien le pompier suivent un prêtre.,visual
38,38,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,bouchers,libraire,bénissent,Les bouchers près du libraire bénissent ces pompiers.,visual
39,39,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,champions,client,défend,Ces champions que le client défend repartent demain.,visual
