,Unnamed: 0,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
16,16,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,champions,malade,émeuvent,Ces champions loin du malade émeuvent ces vendeurs.,visual
17,17,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,bouchers,chanteurs,endorment,Ces bouchers que les chanteurs endorment savent danser.,visual
18,18,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,libraire,malade,décrit,Proche du libraire le malade décrit ce peintre.,visual
19,19,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,gardien,marchands,élisent,Un gardien auprès des marchands élisent ce plombier.,visual
20,20,GSLS,sr_pp,no,no,yes,no,,sing,sing,sing,marchand,médecin,émeut,Près du marchand ce médecin émeut ce pompier.,visual
21,21,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,chef,gérants,servent,Un chef proche des gérants servent un médecin.,visual
22,22,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,juge,patients,plaignent,Le juge que les patients plaignent sait cuisiner.,visual
23,23,GDLS,lr_obj,no,no,no,yes,,sing,plur,plur,facteur,juges,craignent,Un facteur que les juges craignent répond aussitôt.,visual
24,24,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,danseurs,marchands,émeuvent,Proche des danseurs les marchands émeuvent des prêtres.,visual
25,25,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,gérants,marin,élit,Ces gérants que ce marin élit repartent demain.,visual
26,26,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,comédiens,malades,endort,Près des comédiens des malades endort ces vendeurs.,visual
27,27,GDLD,sr_pp,no,yes,yes,yes,6.0,plur,plur,sing,bouchers,gardiens,endort,Auprès des bouchers ces gardiens endort ces plombiers.,visual
28,28,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,malade,notaires,reçoit,Ce malade près des notaires reçoit le peintre.,visual
29,29,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,comédiens,dentistes,élit,Des comédiens que les dentistes élit savent conduire.,visual
30,30,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,coiffeur,danseurs,élit,Ce coiffeur auprès des danseurs élit ce marchand.,visual
31,31,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,coiffeurs,facteurs,reçoivent,Des coiffeurs proche des facteurs reçoivent les juges.,visual
32,32,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,coiffeurs,marins,décrivent,Proche des coiffeurs des marins décrivent des peintres.,visual
33,33,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,gérants,notaires,défend,Ces gérants près des notaires défend ces peintres.,visual
34,34,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,comédien,gardien,endorment,Le comédien loin du gardien endorment le juge.,visual
35,35,GSLD,lr_obj,no,yes,no,no,6.0,plur,sing,plur,juges,peintre,bénissent,Les juges que ce peintre bénissent doivent payer.,visual
36,36,GDLD,lr_obj,no,yes,yes,yes,6.0,sing,sing,plur,chanteur,patient,élisent,Ce chanteur que ce patient élisent part lentement.,visual
37,37,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,coiffeurs,gérant,hait,Ces coiffeurs loin du gérant hait les libraires.,visual
38,38,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,libraire,médecins,entend,Un libraire que ces médecins entend part demain.,visual
39,39,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,coiffeur,danseurs,bénit,Ce coiffeur que ces danseurs bénit écrit souvent.,visual
