trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,rest_duration
trial_25,GSLS,lr_pp,no,yes,no,None,sing,sing,sing,danseur,facteur,reçoit,Un danseur loin du facteur reçoit un juge.,auditory,chef,False,7.0
trial_26,GDLD,lr_pp,yes,yes,yes,6,plur,plur,sing,chefs,dentistes,reçoit,Des chefs près des dentistes reçoit les gérants.,auditory,Des,True,5.0
trial_27,GSLD,lr_pp,no,no,yes,None,plur,sing,plur,danseurs,dentiste,plaignent,Des danseurs près du dentiste plaignent les patients.,auditory,ce,False,5.5
trial_28,GDLD,lr_pp,yes,yes,yes,6,sing,sing,plur,comédien,gérant,reçoivent,Le comédien près du gérant reçoivent un médecin.,auditory,auprès,False,6.0
trial_29,GDLS,lr_obj,no,no,yes,None,plur,sing,sing,champions,chef,punit,Des champions que ce chef punit repartent demain.,auditory,champions,True,6.5
trial_30,GSLS,lr_pp,no,yes,no,None,plur,plur,plur,chefs,patients,suivent,Les chefs près des patients suivent ces vendeurs.,auditory,vendeurs,True,7.0
trial_31,GSLD,lr_obj,yes,no,no,6,plur,sing,plur,marchands,matelot,punissent,Les marchands que ce matelot punissent répondent lentement.,auditory,lentement,True,5.0
trial_32,GS,sr_pp,no,yes,no,None,plur,plur,plur,clients,facteurs,craignent,Proche des clients des facteurs craignent les serveurs.,auditory,ces,False,5.5
trial_33,GDLD,lr_obj,yes,yes,yes,6,sing,sing,plur,coiffeur,matelot,défendent,Un coiffeur que ce matelot défendent répond aussitôt.,auditory,client,False,6.0
trial_34,GD,sr_pp,yes,yes,yes,6,sing,sing,plur,juge,notaire,suivent,Près du juge ce notaire suivent ce plombier.,auditory,notaire,True,6.5
trial_35,GDLD,lr_obj,yes,yes,yes,6,plur,plur,sing,plombiers,pompiers,reçoit,Les plombiers que ces pompiers reçoit vomissent partout.,auditory,plombiers,True,7.0
trial_36,GD,sr_pp,yes,yes,yes,6,plur,plur,sing,chanteurs,facteurs,punit,Proche des chanteurs les facteurs punit ces pompiers.,auditory,champions,False,5.0
trial_37,GDLS,lr_pp,yes,no,no,6,plur,sing,sing,chanteurs,médecin,reçoit,Les chanteurs près du médecin reçoit des serveurs.,auditory,chanteurs,True,5.5
trial_38,GSLS,lr_obj,no,yes,no,None,sing,sing,sing,danseur,libraire,émeut,Un danseur que le libraire émeut écrit souvent.,auditory,libraire,True,6.0
trial_39,GSLD,lr_obj,yes,no,no,6,sing,plur,sing,comédien,gérants,élit,Ce comédien que les gérants élit écrit souvent.,auditory,élit,True,6.5
trial_40,GSLD,lr_pp,no,no,yes,None,sing,plur,sing,comédien,facteurs,sert,Le comédien proche des facteurs sert le libraire.,auditory,endort,False,7.0
