Var1	Unnamed_0	condition	structure	filler	violation	congruency	interference	viol_loc	n1_number	n2_number	v1_number	n1	n2	v1	sentence	run_type	block_type	subject_response	RT	Behavioral	Behavioral_index	TR
42	42	GSLD	obj	no	yes	no	no	6	sing	plur	sing	boucher	coiffeurs	entend	Le boucher que ces coiffeurs entend ment rarement.	visual	visual	NaN	NaN	NR	5	6
43	43	GDLD	pp	no	yes	yes	yes	6	plur	plur	sing	coiffeurs	comédiens	plaint	Les coiffeurs auprès des comédiens plaint des gérants.	visual	visual	NaN	NaN	NR	5	6
44	44	GSLS	pp	no	no	yes	no	None	plur	plur	plur	chanteurs	dentistes	défendent	Des chanteurs auprès des dentistes défendent des marins.	visual	visual	NaN	NaN	NR	5	8
45	45	GDLS	obj	no	no	no	yes	None	sing	plur	plur	client	juges	élisent	Le client que ces juges élisent repart déjà.	visual	visual	NaN	NaN	NR	5	8
46	46	GDLD	pp	no	yes	yes	yes	6	plur	plur	sing	clients	marins	bénit	Ces clients proche des marins bénit des prêtres.	visual	visual	NaN	NaN	NR	5	6
47	47	GSLS	pp	no	no	yes	no	None	plur	plur	plur	facteurs	gardiens	craignent	Ces facteurs proche des gardiens craignent des soldats.	visual	visual	NaN	NaN	NR	5	4
48	48	GDLD	pp	no	yes	yes	yes	6	sing	sing	plur	danseur	libraire	plaignent	Ce danseur près du libraire plaignent le marchand.	visual	visual	NaN	NaN	NR	5	4
49	49	GSLD	obj	no	yes	no	no	6	sing	plur	sing	client	coiffeurs	sert	Un client que ces coiffeurs sert vomit encore.	visual	visual	NaN	NaN	NR	5	8
50	50	GSLD	pp	no	no	no	yes	None	sing	plur	sing	chef	matelots	sert	Un chef loin des matelots sert ce patient.	visual	visual	NaN	NaN	NR	5	4
51	51	GSLS	obj	no	no	yes	no	None	sing	sing	sing	coiffeur	marin	sert	Un coiffeur que ce marin sert doit dormir.	visual	visual	NaN	NaN	NR	5	8
52	52	GDLS	obj	no	no	no	yes	None	sing	plur	plur	boucher	chanteurs	attendent	Un boucher que ces chanteurs attendent ment rarement.	visual	visual	NaN	NaN	NR	5	8
53	53	GDLD	obj	no	yes	yes	yes	6	plur	plur	sing	coiffeurs	danseurs	hait	Des coiffeurs que ces danseurs hait peignent rarement.	visual	visual	NaN	NaN	NR	5	6
54	54	GSLS	obj	no	no	yes	no	None	plur	plur	plur	facteurs	soldats	émeuvent	Des facteurs que ces soldats émeuvent veulent manger.	visual	visual	NaN	NaN	NR	5	4
55	55	obj_filler	obj	yes	yes	None	None	7	sing	sing	sing	chef	facteur	bénit	Le chef que ce facteur bénit peintre danser.	visual	visual	NaN	NaN	NR	5	4
56	56	obj_filler	obj	yes	yes	None	None	7	sing	sing	sing	boucher	malade	attend	Le boucher que ce malade attend serveur partir.	visual	visual	NaN	NaN	NR	5	4
57	57	GSLD	pp	no	no	no	yes	None	sing	plur	sing	boucher	juges	séduit	Ce boucher loin des juges séduit ce prêtre.	visual	visual	NaN	NaN	NR	5	6
58	58	obj_filler	obj	yes	yes	None	None	7	plur	plur	plur	matelots	notaires	attendent	Les matelots que les notaires attendent gardiens partir.	visual	visual	NaN	NaN	NR	5	4
59	59	GSLS	pp	no	no	yes	no	None	plur	plur	plur	marchands	plombiers	endorment	Les marchands loin des plombiers endorment les serveurs.	visual	visual	NaN	NaN	NR	5	8
60	60	GDLD	pp	no	yes	yes	yes	6	sing	sing	plur	boucher	chef	séduisent	Ce boucher près du chef séduisent un coiffeur.	visual	visual	NaN	NaN	NR	5	6
61	61	GSLS	pp	no	no	yes	no	None	plur	plur	plur	coiffeurs	gardiens	émeuvent	Des coiffeurs loin des gardiens émeuvent des juges.	visual	visual	NaN	NaN	NR	5	4
62	62	obj_filler	obj	yes	yes	None	None	7	plur	plur	plur	bouchers	libraires	attendent	Les bouchers que ces libraires attendent coiffeurs parfois.	visual	visual	NaN	NaN	NR	5	6
63	63	GSLS	obj	no	no	yes	no	None	plur	plur	plur	clients	marins	défendent	Des clients que les marins défendent vomissent encore.	visual	visual	NaN	NaN	NR	5	8
64	64	GSLS	pp	no	no	yes	no	None	sing	sing	sing	boucher	chanteur	élit	Un boucher près du chanteur élit un médecin.	visual	visual	NaN	NaN	NR	5	8
65	65	GDLS	pp	no	yes	no	no	6	sing	plur	plur	coiffeur	libraires	haïssent	Un coiffeur auprès des libraires haïssent un plombier.	visual	visual	NaN	NaN	NR	5	4
66	66	GSLD	pp	no	no	no	yes	None	plur	sing	plur	gardiens	médecin	bénissent	Des gardiens proche du médecin bénissent les vendeurs.	visual	visual	NaN	NaN	NR	5	4
67	67	GDLD	obj	no	yes	yes	yes	6	plur	plur	sing	dentistes	marins	attend	Les dentistes que ces marins attend peignent souvent.	visual	visual	NaN	NaN	NR	5	8
68	68	GDLS	pp	no	yes	no	no	6	sing	plur	plur	gardien	notaires	endorment	Le gardien proche des notaires endorment un serveur.	visual	visual	NaN	NaN	NR	5	4
69	69	GDLS	pp	no	yes	no	no	6	sing	plur	plur	chef	médecins	haïssent	Le chef auprès des médecins haïssent le serveur.	visual	visual	NaN	NaN	NR	5	6
70	70	GDLD	pp	no	yes	yes	yes	6	plur	plur	sing	comédiens	marchands	émeut	Ces comédiens auprès des marchands émeut ces plombiers.	visual	visual	NaN	NaN	NR	5	4
71	71	GSLD	pp	no	no	no	yes	None	sing	plur	sing	gérant	notaires	bénit	Le gérant proche des notaires bénit ce peintre.	visual	visual	NaN	NaN	NR	5	8
72	72	GDLD	pp	no	yes	yes	yes	6	sing	sing	plur	gardien	malade	entendent	Ce gardien proche du malade entendent le pompier.	visual	visual	NaN	NaN	NR	5	4
73	73	GDLS	pp	no	yes	no	no	6	sing	plur	plur	boucher	facteurs	attendent	Un boucher près des facteurs attendent ce marchand.	visual	visual	NaN	NaN	NR	5	6
74	74	pp_filler	pp	yes	yes	None	None	5	sing	plur	sing	gardien	repart	bénit	Ce gardien près du repart bénit ce notaire.	visual	visual	NaN	NaN	NR	5	6
75	75	GSLD	pp	no	no	no	yes	None	plur	sing	plur	bouchers	chef	décrivent	Les bouchers loin du chef décrivent des libraires.	visual	visual	NaN	NaN	NR	5	8
76	76	GSLS	pp	no	no	yes	no	None	sing	sing	sing	chanteur	gardien	entend	Un chanteur loin du gardien entend le gérant.	visual	visual	NaN	NaN	NR	5	4
77	77	GDLD	pp	no	yes	yes	yes	6	plur	plur	sing	danseurs	juges	entend	Des danseurs proche des juges entend des pompiers.	visual	visual	NaN	NaN	NR	5	6
78	78	GDLD	obj	no	yes	yes	yes	6	sing	sing	plur	comédien	libraire	attendent	Ce comédien que ce libraire attendent veut manger.	visual	visual	NaN	NaN	NR	5	6
79	79	GSLS	obj	no	no	yes	no	None	plur	plur	plur	bouchers	champions	craignent	Les bouchers que ces champions craignent peignent toujours.	visual	visual	NaN	NaN	NR	5	6
80	80	GSLS	pp	no	no	yes	no	None	sing	sing	sing	chef	gardien	bénit	Le chef près du gardien bénit le patient.	visual	visual	NaN	NaN	NR	5	8
81	81	GSLD	pp	no	no	no	yes	None	plur	sing	plur	champions	libraire	défendent	Les champions proche du libraire défendent ces peintres.	visual	visual	NaN	NaN	NR	5	8
82	82	GSLS	obj	no	no	yes	no	None	sing	sing	sing	comédien	gardien	séduit	Le comédien que ce gardien séduit doit dormir.	visual	visual	NaN	NaN	NR	5	6
83	83	GSLD	obj	no	yes	no	no	6	sing	plur	sing	champion	marins	décrit	Un champion que ces marins décrit sait nager.	visual	visual	NaN	NaN	NR	5	4
84	84	GSLD	pp	no	no	no	yes	None	plur	sing	plur	champions	notaire	endorment	Des champions auprès du notaire endorment ces pompiers.	visual	visual	NaN	NaN	NR	5	4
85	85	GSLD	obj	no	yes	no	no	6	sing	plur	sing	libraire	marchands	émeut	Le libraire que les marchands émeut écrit rarement.	visual	visual	NaN	NaN	NR	5	8
86	86	GDLD	obj	no	yes	yes	yes	6	plur	plur	sing	clients	coiffeurs	séduit	Les clients que ces coiffeurs séduit mentent parfois.	visual	visual	NaN	NaN	NR	5	8
87	87	GSLD	pp	no	no	no	yes	None	sing	plur	sing	danseur	gérants	suit	Un danseur loin des gérants suit un notaire.	visual	visual	NaN	NaN	NR	5	8
88	88	GDLD	obj	no	yes	yes	yes	6	plur	plur	sing	champions	comédiens	sert	Les champions que les comédiens sert partent lentement.	visual	visual	NaN	NaN	NR	5	6
89	89	obj_filler	obj	yes	yes	None	None	7	plur	plur	plur	dentistes	marins	attendent	Ces dentistes que les marins attendent comédiens encore.	visual	visual	NaN	NaN	NR	5	4
