trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,trial_duration
trial_22,GSLS,lr_obj,no,yes,no,,sing,sing,sing,gardien,juge,séduit,Le gardien que le juge séduit écrit parfois.,visual,Le,True,5.5
trial_23,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,médecins,notaires,reçoit,Ces médecins près des notaires reçoit les soldats.,visual,des,True,6.0
trial_24,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,matelot,notaire,punissent,Ce matelot que le notaire punissent sait nager.,visual,que,True,6.5
trial_25,GS,sr_pp,no,yes,no,,plur,plur,plur,danseurs,dentistes,bénissent,Auprès des danseurs les dentistes bénissent les patients.,visual,les,True,7.0
trial_26,GSLD,lr_pp,no,no,yes,,plur,sing,plur,juges,malade,défendent,Des juges loin du malade défendent des plombiers.,visual,médecins,False,5.0
trial_27,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,notaires,peintres,décrit,Près des notaires ces peintres décrit les serveurs.,visual,ces,True,5.5
trial_28,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,facteurs,malade,reçoivent,Ces facteurs que ce malade reçoivent savent danser.,visual,malade,True,6.0
trial_29,GDLS,lr_obj,no,no,yes,,sing,plur,plur,comédien,dentistes,servent,Un comédien que les dentistes servent répond lentement.,visual,facteur,False,6.5
trial_30,GDLD,lr_pp,yes,yes,yes,6.0,sing,sing,plur,gérant,marin,haïssent,Le gérant auprès du marin haïssent le médecin.,visual,du,True,7.0
trial_31,GSLS,lr_pp,no,yes,no,,sing,sing,sing,chanteur,libraire,entend,Ce chanteur auprès du libraire entend un marin.,visual,dentiste,False,5.0
trial_32,GSLD,lr_pp,no,no,yes,,sing,plur,sing,marin,serveurs,craint,Un marin proche des serveurs craint le vendeur.,visual,ces,False,5.5
trial_33,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,champion,coiffeurs,bénit,Le champion que les coiffeurs bénit répond aussitôt.,visual,répond,True,6.0
trial_34,GSLS,lr_pp,no,yes,no,,plur,plur,plur,marins,plombiers,émeuvent,Les marins loin des plombiers émeuvent les pompiers.,visual,émeuvent,True,6.5
trial_35,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,chanteurs,juge,suit,Les chanteurs auprès du juge suit des médecins.,visual,auprès,True,7.0
trial_36,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,boucher,facteurs,suivent,Ce boucher loin des facteurs suivent un matelot.,visual,médecins,False,5.0
trial_37,GDLS,lr_obj,no,no,yes,,plur,sing,sing,pompiers,serveur,élit,Des pompiers que le serveur élit savent cuisiner.,visual,que,True,5.5
trial_38,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,peintres,plombiers,entend,Des peintres que les plombiers entend doivent partir.,visual,auprès,False,6.0
trial_39,GSLS,lr_obj,no,yes,no,,plur,plur,plur,champions,malades,entendent,Les champions que ces malades entendent savent conduire.,visual,entendent,True,6.5
trial_40,GS,sr_pp,no,yes,no,,sing,sing,sing,matelot,patient,défend,Près du matelot un patient défend le soldat.,visual,soldat,True,7.0
