,Unnamed: 0,condition,structure,filler,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,run_type
21,21,GSLS,lr_obj,no,no,yes,no,,sing,sing,sing,champion,gardien,plaint,Ce champion que le gardien plaint repart aussitôt.,visual
22,22,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,dentistes,médecin,décrivent,Les dentistes près du médecin décrivent des soldats.,visual
23,23,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,champion,gardiens,élit,Ce champion proche des gardiens élit un vendeur.,visual
24,24,GDLS,lr_pp,no,yes,no,no,6.0,sing,plur,plur,gardien,marchands,reçoivent,Ce gardien près des marchands reçoivent ce plombier.,visual
25,25,GSLD,lr_obj,no,yes,no,no,6.0,sing,plur,sing,boucher,champions,attend,Un boucher que les champions attend part demain.,visual
26,26,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,chefs,comédiens,hait,Ces chefs proche des comédiens hait ces serveurs.,visual
27,27,GDLD,lr_pp,no,yes,yes,yes,6.0,plur,plur,sing,bouchers,gérants,défend,Ces bouchers proche des gérants défend des peintres.,visual
28,28,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,champions,clients,suivent,Les champions auprès des clients suivent les danseurs.,visual
29,29,GSLD,lr_pp,no,no,no,yes,,sing,plur,sing,champion,dentistes,plaint,Le champion auprès des dentistes plaint le prêtre.,visual
30,30,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,clients,danseurs,reçoit,Les clients que les danseurs reçoit vomissent partout.,visual
31,31,GDLD,lr_pp,no,yes,yes,yes,6.0,sing,sing,plur,client,malade,élisent,Le client loin du malade élisent le matelot.,visual
32,32,GSLS,lr_obj,no,no,yes,no,,plur,plur,plur,chefs,marchands,haïssent,Les chefs que les marchands haïssent partent demain.,visual
33,33,GSLS,sr_pp,no,no,yes,no,,plur,plur,plur,bouchers,champions,séduisent,Loin des bouchers des champions séduisent des plombiers.,visual
34,34,GSLS,lr_pp,no,no,yes,no,,plur,plur,plur,marchands,plombiers,punissent,Des marchands loin des plombiers punissent des vendeurs.,visual
35,35,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,gérants,plombier,hait,Les gérants proche du plombier hait les serveurs.,visual
36,36,GSLD,lr_pp,no,no,no,yes,,plur,sing,plur,danseurs,médecin,bénissent,Les danseurs auprès du médecin bénissent les prêtres.,visual
37,37,GDLS,lr_obj,no,no,no,yes,,plur,sing,sing,bouchers,client,reçoit,Ces bouchers que le client reçoit peignent toujours.,visual
38,38,GDLS,lr_pp,no,yes,no,no,6.0,plur,sing,sing,chefs,danseur,endort,Des chefs loin du danseur endort ces malades.,visual
39,39,GDLD,lr_obj,no,yes,yes,yes,6.0,plur,plur,sing,bouchers,coiffeurs,endort,Ces bouchers que ces coiffeurs endort savent conduire.,visual
