trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,trial_duration
trial_25,GS,sr_pp,no,yes,no,,sing,sing,sing,client,juge,suit,Proche du client le juge suit un notaire.,visual,Proche,True,7.0
trial_26,GSLD,lr_pp,no,no,yes,,plur,sing,plur,facteurs,juge,entendent,Des facteurs proche du juge entendent les plombiers.,visual,les,True,5.0
trial_27,GSLS,lr_obj,no,yes,no,,sing,sing,sing,coiffeur,comédien,reçoit,Le coiffeur que le comédien reçoit écrit toujours.,visual,Ce,False,5.5
trial_28,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,comédien,patients,punit,Ce comédien que ces patients punit sait nager.,visual,loin,False,6.0
trial_29,GSLS,lr_pp,no,yes,no,,sing,sing,sing,marin,médecin,punit,Un marin auprès du médecin punit un plombier.,visual,médecin,True,6.5
trial_30,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,clients,coiffeur,défendent,Des clients que ce coiffeur défendent doivent partir.,visual,ce,True,7.0
trial_31,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,champion,dentistes,servent,Ce champion loin des dentistes servent le patient.,visual,prêtres,False,5.0
trial_32,GSLS,lr_obj,no,yes,no,,plur,plur,plur,gardiens,malades,plaignent,Des gardiens que les malades plaignent repartent déjà.,visual,serveurs,False,5.5
trial_33,GS,sr_pp,no,yes,no,,plur,plur,plur,gérants,matelots,bénissent,Près des gérants ces matelots bénissent ces soldats.,visual,clients,False,6.0
trial_34,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,danseurs,juges,défend,Proche des danseurs des juges défend ces malades.,visual,juges,True,6.5
trial_35,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,libraires,plombiers,entend,Les libraires que ces plombiers entend repartent demain.,visual,sert,False,7.0
trial_36,GDLD,lr_obj,yes,yes,yes,6.0,sing,sing,plur,client,libraire,endorment,Un client que le libraire endorment veut mourir.,visual,vomit,False,5.0
trial_37,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,facteur,pompier,plaignent,Loin du facteur le pompier plaignent un prêtre.,visual,attendent,False,5.5
trial_38,GDLS,lr_obj,no,no,yes,,plur,sing,sing,coiffeurs,marchand,suit,Les coiffeurs que le marchand suit mentent toujours.,visual,marchand,True,6.0
trial_39,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,chefs,matelot,attend,Ces chefs proche du matelot attend des peintres.,visual,peintres,True,6.5
trial_40,GSLD,lr_pp,no,no,yes,,sing,plur,sing,boucher,danseurs,craint,Un boucher loin des danseurs craint un plombier.,visual,boucher,True,7.0
