trial,condition,structure,violation,congruency,interference,viol_loc,n1_number,n2_number,v1_number,n1,n2,v1,sentence,modality,probe_word,probe,rest_duration
trial_25,GDLS,lr_pp,yes,no,no,6.0,sing,plur,plur,boucher,malades,plaignent,Un boucher auprès des malades plaignent un vendeur.,auditory,des,True,7.0
trial_26,GSLD,lr_obj,yes,no,no,6.0,plur,sing,plur,facteurs,médecin,suivent,Des facteurs que ce médecin suivent savent cuisiner.,auditory,savent,True,5.0
trial_27,GS,sr_pp,no,yes,no,,plur,plur,plur,facteurs,malades,suivent,Près des facteurs les malades suivent ces médecins.,auditory,ces,True,5.5
trial_28,GSLS,lr_obj,no,yes,no,,sing,sing,sing,boucher,chanteur,émeut,Ce boucher que ce chanteur émeut vomit souvent.,auditory,souvent,True,6.0
trial_29,GDLS,lr_pp,yes,no,no,6.0,plur,sing,sing,clients,coiffeur,craint,Ces clients loin du coiffeur craint ces vendeurs.,auditory,craint,True,6.5
trial_30,GDLD,lr_pp,yes,yes,yes,6.0,plur,plur,sing,gérants,juges,élit,Des gérants auprès des juges élit ces notaires.,auditory,ces,True,7.0
trial_31,GSLS,lr_pp,no,yes,no,,sing,sing,sing,chanteur,marchand,sert,Ce chanteur près du marchand sert ce matelot.,auditory,ce,True,5.0
trial_32,GS,sr_pp,no,yes,no,,sing,sing,sing,juge,médecin,endort,Proche du juge un médecin endort un peintre.,auditory,juge,True,5.5
trial_33,GSLS,lr_pp,no,yes,no,,plur,plur,plur,chanteurs,marins,attendent,Les chanteurs loin des marins attendent des prêtres.,auditory,libraires,False,6.0
trial_34,GD,sr_pp,yes,yes,yes,6.0,sing,sing,plur,malade,patient,défendent,Proche du malade ce patient défendent un prêtre.,auditory,ce,True,6.5
trial_35,GSLD,lr_obj,yes,no,no,6.0,sing,plur,sing,champion,chanteurs,reçoit,Un champion que ces chanteurs reçoit peint rarement.,auditory,les,False,7.0
trial_36,GDLD,lr_obj,yes,yes,yes,6.0,plur,plur,sing,libraires,marchands,suit,Les libraires que les marchands suit vomissent partout.,auditory,notaires,False,5.0
trial_37,GD,sr_pp,yes,yes,yes,6.0,plur,plur,sing,dentistes,marins,endort,Loin des dentistes des marins endort des prêtres.,auditory,endort,True,5.5
trial_38,GSLD,lr_pp,no,no,yes,,plur,sing,plur,clients,prêtre,endorment,Des clients près du prêtre endorment les soldats.,auditory,Ces,False,6.0
trial_39,GSLS,lr_obj,no,yes,no,,plur,plur,plur,champions,comédiens,haïssent,Ces champions que les comédiens haïssent écrivent toujours.,auditory,écrivent,True,6.5
trial_40,GSLD,lr_pp,no,no,yes,,sing,plur,sing,coiffeur,médecins,reçoit,Le coiffeur auprès des médecins reçoit ce prêtre.,auditory,prêtre,True,7.0
